date,open,high,low,close,volume
01-11-2010,138.1038,139.1198,136.7379,137.9331,4514400
02-11-2010,138.3514,139.1539,138.1295,139.0002,3332400
03-11-2010,139.3076,139.3076,137.0794,138.838,4462800
04-11-2010,139.6832,142.0565,138.8893,142.048,8162600
05-11-2010,141.7065,146.1372,141.6467,146.0433,11989300
08-11-2010,145.0872,146.5043,144.3615,144.4469,5516100
09-11-2010,145.386,145.8555,141.715,142.1846,7343900
10-11-2010,141.9797,143.9773,141.3479,142.7565,6328100
11-11-2010,141.5357,144.1822,141.5357,143.1749,3931500
12-11-2010,142.048,143.5249,140.5625,141.5699,4735600
15-11-2010,141.4418,144.5749,140.8699,142.7565,5199000
16-11-2010,141.5443,142.5687,140.5711,140.9467,5914100
17-11-2010,140.9638,141.4845,140.0076,140.7674,3726300
18-11-2010,141.4504,144.2164,141.3735,142.8675,4987500
19-11-2010,142.9956,143.209,141.4589,142.287,4584500
22-11-2010,140.2637,140.332,135.2704,137.4892,11364000
23-11-2010,135.8245,137.3611,134.5951,134.6976,7315000
24-11-2010,135.7049,137.1904,135.3549,136.8148,4258200
26-11-2010,135.2781,136.0379,134.9451,135.0732,1876900
29-11-2010,134.45,136.5928,134.0317,135.9781,4819900
30-11-2010,135.2476,136.3257,133.5963,133.5963,5416900
01-12-2010,135.5728,136.2145,134.3321,135.5728,6024000
02-12-2010,136.1803,139.6797,135.9065,139.038,7208600
03-12-2010,138.0198,139.038,137.7118,138.8755,4658000
06-12-2010,138.3193,139.6284,138.1738,139.1664,3686300
07-12-2010,140.7664,140.9803,138.1311,138.2594,5527700
08-12-2010,138.576,142.1525,138.5161,142.1525,5259500
09-12-2010,142.8883,143.53,141.8188,142.4177,5746400
10-12-2010,142.3835,144.1461,141.9471,144.1461,4543600
13-12-2010,143.9578,146.2423,143.6584,145.0102,5325200
14-12-2010,145.1728,145.4466,142.7514,143.1707,4892700
15-12-2010,142.5803,143.1356,141.2712,141.3567,4358100
16-12-2010,141.7674,141.9557,139.6455,140.715,4164400
17-12-2010,140.253,141.1771,139.5685,140.3557,5343000
20-12-2010,140.099,142.8027,140.022,142.0755,3719100
21-12-2010,142.4947,144.4969,142.4605,143.9407,4546900
22-12-2010,144.3172,145.1814,143.6584,145.1129,3858500
23-12-2010,144.6851,145.1984,143.0338,143.4017,2494000
27-12-2010,142.7086,145.4552,142.3835,145.3097,2715000
28-12-2010,145.4552,146.5076,144.4541,144.7621,2862900
29-12-2010,144.9418,145.2669,142.5204,143.4273,3329800
30-12-2010,143.8209,143.9578,142.8798,143.4359,1745400
31-12-2010,143.3846,144.4284,142.8969,143.8808,1636300
03-01-2011,145.9257,148.2359,145.3268,148.0648,5717100
04-01-2011,148.7664,148.8776,147.1664,148.0905,3335500
05-01-2011,147.2092,149.2969,147.1664,148.8776,4140600
06-01-2011,149.314,149.3824,147.1493,147.3461,5375200
07-01-2011,147.7653,147.9279,144.9083,146.0455,4916100
10-01-2011,145.4552,146.5589,144.7707,145.2498,3650300
11-01-2011,145.883,146.6744,144.0177,144.9076,4572300
12-01-2011,144.9332,147.4316,144.7536,146.884,5592900
13-01-2011,147.2006,147.6797,146.3108,146.7985,3183800
14-01-2011,146.4733,149.7333,146.4733,149.7333,5885100
18-01-2011,149.5193,150.0242,148.0648,149.4595,4981200
19-01-2011,144.9931,146.73,141.9129,142.4519,13372700
20-01-2011,142.5033,142.9396,140.33,141.7674,8914900
21-01-2011,141.93,144.7707,141.2797,142.2038,5876500
24-01-2011,142.0241,142.9467,141.8188,142.2894,4624300
25-01-2011,139.5086,140.9974,137.0016,138.5931,11259800
26-01-2011,138.3535,139.3289,137.7888,138.0198,6738000
27-01-2011,137.8658,140.5354,137.8487,140.3471,6036000
28-01-2011,140.4583,141.2541,138.114,138.4134,4570000
31-01-2011,138.0797,140.0819,137.9514,139.9963,3792800
01-02-2011,140.2017,142.2466,139.9878,141.4594,4138400
02-02-2011,141.3054,142.5803,140.4926,141.2198,2986200
03-02-2011,141.1685,141.1685,138.4733,140.869,4710400
04-02-2011,141.0744,141.16,139.2605,141.0316,3354500
07-02-2011,140.9974,143.8295,140.8348,142.9995,5036700
08-02-2011,142.9054,144.36,142.2551,144.2145,4718700
09-02-2011,143.9407,143.9407,140.8862,142.0412,5663900
10-02-2011,141.3054,142.5888,140.9033,141.468,4265800
11-02-2011,141.2712,143.4787,141.0145,142.5974,4257100
14-02-2011,142.161,143.5728,141.6134,143.3332,3547200
15-02-2011,143.1621,144.1204,142.7343,143.6669,4025900
16-02-2011,144.2231,145.3696,143.7439,144.437,4606300
17-02-2011,144.206,144.3343,142.8883,143.0252,4448100
18-02-2011,142.9225,144.0006,142.76,143.7781,3728100
22-02-2011,141.7503,141.8273,138.9097,139.4145,5448200
23-02-2011,139.1492,141.0059,138.4134,139.5428,4560400
24-02-2011,138.7813,140.2359,138.0267,139.8423,4619300
25-02-2011,140.3642,141.93,139.9108,141.2797,4636200
28-02-2011,141.9332,142.5506,139.8583,140.4327,4235200
01-03-2011,140.2355,141.0415,138.3062,138.3148,7015500
02-03-2011,138.5463,140.0468,138.1433,138.6406,4658400
03-03-2011,139.5152,141.633,139.4981,141.0415,4581200
04-03-2011,139.661,139.7639,137.5002,138.049,7810800
07-03-2011,138.4005,138.7692,135.9054,136.4627,7004100
08-03-2011,136.7028,138.7178,136.3684,138.3062,4845900
09-03-2011,138.7778,140.3812,138.5463,139.2065,4125200
10-03-2011,137.8775,138.049,137.183,137.423,4563400
11-03-2011,137.0629,138.5206,137.0543,137.7746,2883900
14-03-2011,137.1401,137.6203,135.4938,135.8453,4376100
15-03-2011,133.8132,135.5195,132.7757,134.8335,5243600
16-03-2011,134.8164,134.825,131.4123,132.3727,7223400
17-03-2011,133.7017,134.0618,132.004,133.5474,5293900
18-03-2011,134.2762,137.4059,133.1101,137.1572,10170600
21-03-2011,138.5806,139.035,137.1058,137.3716,4663300
22-03-2011,137.7403,139.0865,137.2944,137.8689,3538900
23-03-2011,137.2087,137.3887,135.6824,136.7885,3603300
24-03-2011,137.4916,137.6203,136.1892,137.1144,2734400
25-03-2011,137.6288,137.6288,135.2194,135.4509,4020700
28-03-2011,135.6481,136.5827,134.1133,134.1647,3686800
29-03-2011,134.2762,136.0768,133.3599,135.8796,3769400
30-03-2011,136.3598,137.5602,135.0222,136.3941,2967200
31-03-2011,134.945,137.2515,134.8936,135.9911,3317700
01-04-2011,136.9943,138.9064,136.9,137.3887,3787900
04-04-2011,137.8432,137.9461,135.9911,136.2483,2816800
05-04-2011,135.8711,136.4627,135.1508,136.2569,3173700
06-04-2011,137.0972,138.8978,136.2098,138.8121,4198700
07-04-2011,138.8978,140.9643,138.5377,139.2494,4589200
08-04-2011,140.184,140.2955,137.8946,138.0147,3280800
11-04-2011,137.6545,139.6867,137.6545,138.452,3126900
12-04-2011,137.4059,138.4263,136.7178,137.5517,3328100
13-04-2011,139.3351,140.6042,137.0458,137.3373,5145000
14-04-2011,135.0565,135.1337,133.1187,133.5817,7982300
15-04-2011,133.9161,134.5763,132.587,133.0158,5608300
18-04-2011,132.0897,132.8014,129.9204,131.8582,5992900
19-04-2011,133.8389,133.8475,128.2312,130.2119,13463800
20-04-2011,131.3352,132.1755,129.9032,130.9322,7181300
21-04-2011,131.2666,132.3298,130.9322,131.6267,3977500
25-04-2011,130.8293,130.8378,129.6288,130.4949,3711600
26-04-2011,130.2376,132.004,130.1433,131.4209,4400000
27-04-2011,131.7039,131.9182,130.332,131.0694,4207000
28-04-2011,130.8035,130.8464,128.7885,129.1315,5906700
29-04-2011,128.8571,130.2205,128.3099,129.4831,6075500
02-05-2011,130.5034,131.2494,129.5345,129.7317,4362700
03-05-2011,129.4488,131.0179,129.2001,130.2205,3557400
04-05-2011,130.5463,130.7264,129.4316,129.9204,3768000
05-05-2011,129.363,129.6631,128.5742,128.9686,4100200
06-05-2011,129.8775,130.3062,128.2141,128.7028,5429300
09-05-2011,128.3598,128.5039,127.5881,127.8625,3152400
10-05-2011,127.7768,129.2516,127.348,128.96,4033800
11-05-2011,128.6171,128.6171,126.6021,126.7993,5310500
12-05-2011,125.1787,125.8561,120.6085,122.4006,20659200
13-05-2011,122.0919,122.2034,119.3995,121.2945,14256700
16-05-2011,120.8057,122.9493,120.2655,120.5571,6458800
17-05-2011,120.2655,121.7146,119.2537,120.7371,7071400
18-05-2011,120.8443,121.6031,120.2227,120.7628,4768900
19-05-2011,121.0972,121.1573,118.6985,119.4767,7331500
20-05-2011,118.482,119.7339,115.5753,115.7468,11284500
23-05-2011,114.5892,117.6332,114.5892,116.4756,8406500
24-05-2011,116.8443,117.2645,115.7811,116.9043,6605300
25-05-2011,116.3298,117.9761,116.1926,116.8186,6528800
26-05-2011,116.7843,117.2129,116.0469,116.8357,5332300
27-05-2011,117.1221,119.4516,117.1049,119.1937,5275700
31-05-2011,121.0505,122.3227,120.2424,120.9731,7023200
01-06-2011,120.3026,120.3456,116.9931,117.0533,6768100
02-06-2011,117.4659,117.5347,113.0389,115.5146,12423400
03-06-2011,114.3111,117.9129,114.2338,116.3312,5457600
06-06-2011,115.8326,116.2367,114.4487,115.102,5287800
07-06-2011,115.5146,116.7008,114.3197,114.3197,6191500
08-06-2011,114.0103,115.953,113.0389,113.1163,6795100
09-06-2011,113.4601,116.1335,113.3226,114.7839,4498100
10-06-2011,114.5088,117.9817,113.9114,116.8384,7556800
13-06-2011,117.0189,118.6006,116.8384,118.2224,5272900
14-06-2011,118.7983,119.443,117.3713,117.8527,5849900
15-06-2011,116.9673,118.2739,115.1965,115.9186,5715200
16-06-2011,115.7295,117.6722,115.3169,116.9845,5230700
17-06-2011,118.4802,119.3055,117.9473,117.9645,6758300
20-06-2011,117.2682,117.5347,115.498,116.1679,4019900
21-06-2011,116.4773,117.9301,115.4458,116.8728,4213300
22-06-2011,116.5547,118.4373,115.5576,115.6349,4224400
23-06-2011,114.4143,115.0418,113.1592,113.7782,6706600
24-06-2011,114.165,114.7151,112.4544,112.5317,5774800
27-06-2011,112.3942,113.3484,111.5776,112.3598,5831800
28-06-2011,112.9014,112.9014,110.2881,111.1134,8056000
29-06-2011,111.5174,114.526,111.3197,113.9243,8170800
30-06-2011,114.3713,115.016,113.0389,114.4057,4980900
01-07-2011,114.6979,117.5261,114.4057,117.4659,5103500
05-07-2011,116.8212,116.9501,114.3283,115.6177,4458300
06-07-2011,114.9988,115.5662,114.1736,115.0934,3029100
07-07-2011,116.1249,117.0791,115.8068,116.0561,3857500
08-07-2011,114.6034,115.5318,114.4744,115.2567,4141600
11-07-2011,114.1134,114.6979,112.6693,113.4859,4722900
12-07-2011,112.9701,114.036,111.8354,112.016,4330900
13-07-2011,112.3856,113.271,111.4916,111.6807,4410500
14-07-2011,113.2108,113.6406,111.5345,111.6549,5357200
15-07-2011,112.8756,113.0475,111.0446,111.887,5255100
18-07-2011,111.3884,111.887,109.6005,111.1735,5836500
19-07-2011,108.0789,111.6893,107.8812,110.4515,15297700
20-07-2011,110.0303,115.016,109.6697,114.1134,8578300
21-07-2011,114.7753,116.89,114.5432,116.5461,7671000
22-07-2011,116.0733,117.3112,115.5662,116.4687,4925500
25-07-2011,115.3341,117.8785,114.7581,117.6378,5856700
26-07-2011,117.4315,119.7009,116.9243,118.2825,5464700
27-07-2011,117.5862,117.9817,115.5662,115.8068,5250000
28-07-2011,116.0217,118.7381,115.7467,116.7696,4429700
29-07-2011,115.2739,117.4229,114.4401,116.0217,5340300
